condition,response,bot_sentence,bot_question,check_index,property,tested_on,correct,workerid
memory_check,1,NA,NA,1,big oven,1,1,workerid_0003
memory_check,1,NA,NA,2,light seagull,1,1,workerid_0003
memory_check,0,NA,NA,3,wild animal,0,1,workerid_0003
memory_check,1,NA,NA,4,expensive gold,1,1,workerid_0003
memory_check,0,NA,NA,5,purple guitar,0,1,workerid_0003
memory_check,1,NA,NA,6,loud rooster,1,1,workerid_0003
memory_check,1,NA,NA,7,hard piece of chocolate,1,1,workerid_0003
memory_check,0,NA,NA,8,beautiful watch,0,1,workerid_0003
memory_check,0,NA,NA,9,shiny necklace,0,1,workerid_0003
botcaptcha,sarah,"John says to Sarah: It's a beautiful day, isn't it?",Who is John talking to?,NA,NA,NA,NA,workerid_0004
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0004
memory_check,0,NA,NA,0,shiny necklace,0,1,workerid_0004
memory_check,1,NA,NA,1,cheap coat,1,1,workerid_0004
memory_check,0,NA,NA,2,wild animal,0,1,workerid_0004
memory_check,0,NA,NA,3,beautiful watch,0,1,workerid_0004
memory_check,0,NA,NA,4,green shirt,0,1,workerid_0004
memory_check,1,NA,NA,5,cheap metal,1,1,workerid_0004
memory_check,1,NA,NA,6,weak wall paint,1,1,workerid_0004
memory_check,1,NA,NA,7,cold coffee,1,1,workerid_0004
memory_check,0,NA,NA,8,purple guitar,0,1,workerid_0004
memory_check,1,NA,NA,9,tall apartment building,1,1,workerid_0004
botcaptcha,margaret,"Richard says to Margaret: It's a beautiful day, isn't it?",Who is Richard talking to?,NA,NA,NA,NA,workerid_0005
warm_up,john,NA,NA,0,tall,Empire State Building,0,workerid_0005
memory_check,1,NA,NA,0,quick elderly person,1,1,workerid_0005
memory_check,0,NA,NA,1,heavy monkey,1,0,workerid_0005
memory_check,0,NA,NA,2,cold salad,1,0,workerid_0005
memory_check,0,NA,NA,3,short redwood tree,1,0,workerid_0005
memory_check,0,NA,NA,4,beautiful watch,0,1,workerid_0005
memory_check,1,NA,NA,5,wild animal,0,0,workerid_0005
memory_check,0,NA,NA,6,shiny necklace,0,1,workerid_0005
memory_check,1,NA,NA,7,purple guitar,0,0,workerid_0005
memory_check,0,NA,NA,8,quick crockpot,1,0,workerid_0005
memory_check,0,NA,NA,9,green shirt,0,1,workerid_0005
botcaptcha,patricia,"William says to Patricia: It's a beautiful day, isn't it?",Who is William talking to?,NA,NA,NA,NA,workerid_0006
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0006
memory_check,0,NA,NA,0,wild animal,0,1,workerid_0006
memory_check,1,NA,NA,1,long pick-up truck,1,1,workerid_0006
memory_check,1,NA,NA,2,wide downtown street,1,1,workerid_0006
memory_check,0,NA,NA,3,beautiful watch,0,1,workerid_0006
memory_check,0,NA,NA,4,purple guitar,0,1,workerid_0006
memory_check,1,NA,NA,5,long sprinting race,1,1,workerid_0006
memory_check,1,NA,NA,6,wide back door,1,1,workerid_0006
memory_check,1,NA,NA,7,shiny necklace,0,0,workerid_0006
memory_check,0,NA,NA,8,weak condo,1,0,workerid_0006
memory_check,0,NA,NA,9,green shirt,0,1,workerid_0006
botcaptcha,Jessica,"Robert says to Jessica: It's a beautiful day, isn't it?",Who is Robert talking to?,NA,NA,NA,NA,workerid_0007
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0007
memory_check,1,NA,NA,0,quiet owl,1,1,workerid_0007
memory_check,0,NA,NA,1,purple guitar,0,1,workerid_0007
memory_check,0,NA,NA,2,wild animal,0,1,workerid_0007
memory_check,0,NA,NA,3,shiny necklace,0,1,workerid_0007
memory_check,1,NA,NA,4,quick frying pan,1,1,workerid_0007
memory_check,1,NA,NA,5,light printer,1,1,workerid_0007
memory_check,1,NA,NA,6,cheap strawberries,1,1,workerid_0007
memory_check,1,NA,NA,7,cold coffee,1,1,workerid_0007
memory_check,0,NA,NA,8,beautiful watch,0,1,workerid_0007
memory_check,0,NA,NA,9,green shirt,0,1,workerid_0007
botcaptcha,jessica,"Robert says to Jessica: It's a beautiful day, isn't it?",Who is Robert talking to?,NA,NA,NA,NA,workerid_0008
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0008
memory_check,0,NA,NA,0,wild animal,0,1,workerid_0008
memory_check,1,NA,NA,1,light night,1,1,workerid_0008
memory_check,1,NA,NA,2,short alpine tree,1,1,workerid_0008
memory_check,0,NA,NA,3,green shirt,0,1,workerid_0008
memory_check,1,NA,NA,4,light wool,1,1,workerid_0008
memory_check,0,NA,NA,5,purple guitar,0,1,workerid_0008
memory_check,0,NA,NA,6,beautiful watch,0,1,workerid_0008
memory_check,1,NA,NA,7,strong adult,1,1,workerid_0008
memory_check,0,NA,NA,8,shiny necklace,0,1,workerid_0008
memory_check,1,NA,NA,9,loud parrot,1,1,workerid_0008
botcaptcha,Elizabeth,"Charles says to Elizabeth: It's a beautiful day, isn't it?",Who is Charles talking to?,NA,NA,NA,NA,workerid_0009
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0009
memory_check,1,NA,NA,0,weak wrestler,1,1,workerid_0009
memory_check,0,NA,NA,1,wild animal,0,1,workerid_0009
memory_check,1,NA,NA,2,slow cheetah,1,1,workerid_0009
memory_check,0,NA,NA,3,beautiful watch,0,1,workerid_0009
memory_check,1,NA,NA,4,light fruit cake,1,1,workerid_0009
memory_check,1,NA,NA,5,hard tile,1,1,workerid_0009
memory_check,1,NA,NA,6,tall redwood tree,1,1,workerid_0009
memory_check,0,NA,NA,7,shiny necklace,0,1,workerid_0009
memory_check,0,NA,NA,8,purple guitar,0,1,workerid_0009
memory_check,0,NA,NA,9,green shirt,0,1,workerid_0009
botcaptcha,Jennifer,"Richard says to Jennifer: It's a beautiful day, isn't it?",Who is Richard talking to?,NA,NA,NA,NA,workerid_0010
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0010
memory_check,1,NA,NA,0,big truck,1,1,workerid_0010
memory_check,1,NA,NA,1,strong cyclist,1,1,workerid_0010
memory_check,1,NA,NA,2,hard jolly rancher,1,1,workerid_0010
memory_check,0,NA,NA,3,shiny necklace,0,1,workerid_0010
memory_check,0,NA,NA,4,beautiful watch,0,1,workerid_0010
memory_check,0,NA,NA,5,green shirt,0,1,workerid_0010
memory_check,1,NA,NA,6,heavy couch,1,1,workerid_0010
memory_check,0,NA,NA,7,wild animal,0,1,workerid_0010
memory_check,1,NA,NA,8,hard melon,1,1,workerid_0010
memory_check,0,NA,NA,9,purple guitar,0,1,workerid_0010
botcaptcha,linda,"David says to Linda: It's a beautiful day, isn't it?",Who is David talking to?,NA,NA,NA,NA,workerid_0011
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0011
memory_check,0,NA,NA,0,purple guitar,0,1,workerid_0011
memory_check,1,NA,NA,1,quiet fish,1,1,workerid_0011
memory_check,0,NA,NA,2,green shirt,0,1,workerid_0011
memory_check,1,NA,NA,3,quiet rap concert,1,1,workerid_0011
memory_check,0,NA,NA,4,shiny necklace,0,1,workerid_0011
memory_check,0,NA,NA,5,beautiful watch,0,1,workerid_0011
memory_check,1,NA,NA,6,tall teenager,1,1,workerid_0011
memory_check,1,NA,NA,7,expensive raspberries,1,1,workerid_0011
memory_check,1,NA,NA,8,dark blue paint,1,1,workerid_0011
memory_check,1,NA,NA,9,wild animal,0,0,workerid_0011
botcaptcha,sarah,"Thomas says to Sarah: It's a beautiful day, isn't it?",Who is Thomas talking to?,NA,NA,NA,NA,workerid_0012
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0012
memory_check,0,NA,NA,0,green shirt,0,1,workerid_0012
memory_check,0,NA,NA,1,shiny necklace,0,1,workerid_0012
memory_check,1,NA,NA,2,wide highway,1,1,workerid_0012
memory_check,0,NA,NA,3,wild animal,0,1,workerid_0012
memory_check,0,NA,NA,4,beautiful watch,0,1,workerid_0012
memory_check,0,NA,NA,5,purple guitar,0,1,workerid_0012
memory_check,1,NA,NA,6,weak hurricane,1,1,workerid_0012
memory_check,1,NA,NA,7,light wool,1,1,workerid_0012
memory_check,0,NA,NA,8,light piece of chalk,1,0,workerid_0012
memory_check,1,NA,NA,9,warm pantry,1,1,workerid_0012
botcaptcha,susan,"Richard says to Susan: It's a beautiful day, isn't it?",Who is Richard talking to?,NA,NA,NA,NA,workerid_0013
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0013
memory_check,0,NA,NA,0,wild animal,0,1,workerid_0013
memory_check,1,NA,NA,1,quiet city,1,1,workerid_0013
memory_check,1,NA,NA,2,loud parrot,1,1,workerid_0013
memory_check,1,NA,NA,3,big tree,1,1,workerid_0013
memory_check,0,NA,NA,4,beautiful watch,0,1,workerid_0013
memory_check,0,NA,NA,5,shiny necklace,0,1,workerid_0013
memory_check,0,NA,NA,6,purple guitar,0,1,workerid_0013
memory_check,1,NA,NA,7,short bonsai tree,1,1,workerid_0013
memory_check,1,NA,NA,8,light panther,1,1,workerid_0013
memory_check,0,NA,NA,9,green shirt,0,1,workerid_0013
botcaptcha,Jessica,"David says to Jessica: It's a beautiful day, isn't it?",Who is David talking to?,NA,NA,NA,NA,workerid_0014
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0014
memory_check,1,NA,NA,0,shiny necklace,0,0,workerid_0014
memory_check,1,NA,NA,1,wide back door,1,1,workerid_0014
memory_check,0,NA,NA,2,beautiful watch,0,1,workerid_0014
memory_check,1,NA,NA,3,noisy church,1,1,workerid_0014
memory_check,0,NA,NA,4,purple guitar,0,1,workerid_0014
memory_check,1,NA,NA,5,fast car,1,1,workerid_0014
memory_check,1,NA,NA,6,wide creek,1,1,workerid_0014
memory_check,1,NA,NA,7,short mouse,1,1,workerid_0014
memory_check,0,NA,NA,8,green shirt,0,1,workerid_0014
memory_check,1,NA,NA,9,wild animal,0,0,workerid_0014
botcaptcha,mary,"David says to Mary: It's a beautiful day, isn't it?",Who is David talking to?,NA,NA,NA,NA,workerid_0015
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0015
memory_check,0,NA,NA,0,beautiful watch,0,1,workerid_0015
memory_check,1,NA,NA,1,wide river,1,1,workerid_0015
memory_check,1,NA,NA,2,big kumquat,1,1,workerid_0015
memory_check,0,NA,NA,3,shiny necklace,0,1,workerid_0015
memory_check,1,NA,NA,4,long documentary,1,1,workerid_0015
memory_check,0,NA,NA,5,purple guitar,0,1,workerid_0015
memory_check,0,NA,NA,6,wild animal,0,1,workerid_0015
memory_check,1,NA,NA,7,weak golfer,1,1,workerid_0015
memory_check,1,NA,NA,8,short redwood tree,1,1,workerid_0015
memory_check,0,NA,NA,9,green shirt,0,1,workerid_0015
botcaptcha,Sarah,"Michael says to Sarah: It's a beautiful day, isn't it?",Who is Michael talking to?,NA,NA,NA,NA,workerid_0016
warm_up,Buildings,NA,NA,0,tall,Empire State Building,0,workerid_0016
memory_check,1,NA,NA,0,light wool,1,1,workerid_0016
memory_check,0,NA,NA,1,wild animal,0,1,workerid_0016
memory_check,0,NA,NA,2,beautiful watch,0,1,workerid_0016
memory_check,1,NA,NA,3,dark cheesecake,1,1,workerid_0016
memory_check,0,NA,NA,4,purple guitar,0,1,workerid_0016
memory_check,1,NA,NA,5,big chihuahua,1,1,workerid_0016
memory_check,1,NA,NA,6,short jockey,1,1,workerid_0016
memory_check,0,NA,NA,7,green shirt,0,1,workerid_0016
memory_check,0,NA,NA,8,shiny necklace,0,1,workerid_0016
memory_check,1,NA,NA,9,heavy motorcycle,1,1,workerid_0016
botcaptcha,Margaret,"Thomas says to Margaret: It's a beautiful day, isn't it?",Who is Thomas talking to?,NA,NA,NA,NA,workerid_0017
warm_up,other buildings in town.,NA,NA,0,tall,Empire State Building,1,workerid_0017
memory_check,0,NA,NA,0,beautiful watch,0,1,workerid_0017
memory_check,0,NA,NA,1,dark piece of chalk,1,0,workerid_0017
memory_check,0,NA,NA,2,shiny necklace,0,1,workerid_0017
memory_check,1,NA,NA,3,short podcast episode,1,1,workerid_0017
memory_check,1,NA,NA,4,heavy watermelon,1,1,workerid_0017
memory_check,0,NA,NA,5,green shirt,0,1,workerid_0017
memory_check,1,NA,NA,6,narrow patio door,1,1,workerid_0017
memory_check,0,NA,NA,7,purple guitar,0,1,workerid_0017
memory_check,0,NA,NA,8,wild animal,0,1,workerid_0017
memory_check,1,NA,NA,9,quiet mockingbird ,1,1,workerid_0017
botcaptcha,patricia,"Robert says to Patricia: It's a beautiful day, isn't it?",Who is Robert talking to?,NA,NA,NA,NA,workerid_0018
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0018
memory_check,1,NA,NA,0,light day,1,1,workerid_0018
memory_check,1,NA,NA,1,short triathlon race,1,1,workerid_0018
memory_check,0,NA,NA,2,shiny necklace,0,1,workerid_0018
memory_check,1,NA,NA,3,loud choral concert,1,1,workerid_0018
memory_check,0,NA,NA,4,beautiful watch,0,1,workerid_0018
memory_check,1,NA,NA,5,tall adult,1,1,workerid_0018
memory_check,0,NA,NA,6,purple guitar,0,1,workerid_0018
memory_check,0,NA,NA,7,green shirt,0,1,workerid_0018
memory_check,1,NA,NA,8,big spider,1,1,workerid_0018
memory_check,0,NA,NA,9,wild animal,0,1,workerid_0018
botcaptcha,jessica,"Charles says to Jessica: It's a beautiful day, isn't it?",Who is Charles talking to?,NA,NA,NA,NA,workerid_0019
warm_up,building,NA,NA,0,tall,Empire State Building,1,workerid_0019
memory_check,1,NA,NA,0,expensive platinum,1,1,workerid_0019
memory_check,1,NA,NA,1,weak thunderstorm,1,1,workerid_0019
memory_check,0,NA,NA,2,beautiful watch,0,1,workerid_0019
memory_check,1,NA,NA,3,short dachshund,1,1,workerid_0019
memory_check,0,NA,NA,4,wild animal,0,1,workerid_0019
memory_check,1,NA,NA,5,loud car,1,1,workerid_0019
memory_check,0,NA,NA,6,purple guitar,0,1,workerid_0019
memory_check,0,NA,NA,7,shiny necklace,0,1,workerid_0019
memory_check,0,NA,NA,8,green shirt,0,1,workerid_0019
memory_check,1,NA,NA,9,light white paint,1,1,workerid_0019
botcaptcha,Patricia,"Thomas says to Patricia: It's a beautiful day, isn't it?",Who is Thomas talking to?,NA,NA,NA,NA,workerid_0020
warm_up,building,NA,NA,0,tall,Empire State Building,1,workerid_0020
memory_check,1,NA,NA,0,cheap Japanese restaurant,1,1,workerid_0020
memory_check,0,NA,NA,1,shiny necklace,0,1,workerid_0020
memory_check,0,NA,NA,2,wild animal,0,1,workerid_0020
memory_check,1,NA,NA,3,heavy baby,1,1,workerid_0020
memory_check,0,NA,NA,4,purple guitar,0,1,workerid_0020
memory_check,1,NA,NA,5,heavy elephant,1,1,workerid_0020
memory_check,0,NA,NA,6,green shirt,0,1,workerid_0020
memory_check,1,NA,NA,7,cheap bronze,1,1,workerid_0020
memory_check,1,NA,NA,8,cheap boots,1,1,workerid_0020
memory_check,0,NA,NA,9,beautiful watch,0,1,workerid_0020
botcaptcha,patricia,"Thomas says to Patricia: It's a beautiful day, isn't it?",Who is Thomas talking to?,NA,NA,NA,NA,workerid_0021
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0021
memory_check,1,NA,NA,0,small smartcar,1,1,workerid_0021
memory_check,0,NA,NA,1,beautiful watch,0,1,workerid_0021
memory_check,0,NA,NA,2,green shirt,0,1,workerid_0021
memory_check,1,NA,NA,3,long chihuahua,1,1,workerid_0021
memory_check,1,NA,NA,4,soft tile,1,1,workerid_0021
memory_check,1,NA,NA,5,cold ice rink,1,1,workerid_0021
memory_check,0,NA,NA,6,purple guitar,0,1,workerid_0021
memory_check,0,NA,NA,7,wild animal,0,1,workerid_0021
memory_check,1,NA,NA,8,cold milkshake,1,1,workerid_0021
memory_check,0,NA,NA,9,shiny necklace,0,1,workerid_0021
botcaptcha,Barbara,"James says to Barbara: It's a beautiful day, isn't it?",Who is James talking to?,NA,NA,NA,NA,workerid_0022
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0022
memory_check,0,NA,NA,0,shiny necklace,0,1,workerid_0022
memory_check,0,NA,NA,1,green shirt,0,1,workerid_0022
memory_check,1,NA,NA,2,strong golfer,1,1,workerid_0022
memory_check,1,NA,NA,3,big peach,1,1,workerid_0022
memory_check,1,NA,NA,4,quick turtle,1,1,workerid_0022
memory_check,0,NA,NA,5,wild animal,0,1,workerid_0022
memory_check,1,NA,NA,6,cheap bottle of wine,1,1,workerid_0022
memory_check,0,NA,NA,7,purple guitar,0,1,workerid_0022
memory_check,1,NA,NA,8,small chihuahua,1,1,workerid_0022
memory_check,0,NA,NA,9,beautiful watch,0,1,workerid_0022
botcaptcha,Mary,"Richard says to Mary: It's a beautiful day, isn't it?",Who is Richard talking to?,NA,NA,NA,NA,workerid_0023
warm_up,Buildings,NA,NA,0,tall,Empire State Building,0,workerid_0023
memory_check,0,NA,NA,0,shiny necklace,0,1,workerid_0023
memory_check,0,NA,NA,1,wild animal,0,1,workerid_0023
memory_check,1,NA,NA,2,hard pillow,1,1,workerid_0023
memory_check,1,NA,NA,3,soft blanket,1,1,workerid_0023
memory_check,0,NA,NA,4,purple guitar,0,1,workerid_0023
memory_check,1,NA,NA,5,short giraffe,1,1,workerid_0023
memory_check,1,NA,NA,6,light silk,1,1,workerid_0023
memory_check,0,NA,NA,7,beautiful watch,0,1,workerid_0023
memory_check,1,NA,NA,8,big sedan,1,1,workerid_0023
memory_check,0,NA,NA,9,green shirt,0,1,workerid_0023
botcaptcha,patricia,"Robert says to Patricia: It's a beautiful day, isn't it?",Who is Robert talking to?,NA,NA,NA,NA,workerid_0024
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0024
memory_check,0,NA,NA,0,long smartcar,1,0,workerid_0024
memory_check,1,NA,NA,1,slow frying pan,1,1,workerid_0024
memory_check,1,NA,NA,2,tall tulip,1,1,workerid_0024
memory_check,1,NA,NA,3,light laptop,1,1,workerid_0024
memory_check,0,NA,NA,4,green shirt,0,1,workerid_0024
memory_check,0,NA,NA,5,purple guitar,0,1,workerid_0024
memory_check,0,NA,NA,6,wild animal,0,1,workerid_0024
memory_check,1,NA,NA,7,short strip mall,1,1,workerid_0024
memory_check,0,NA,NA,8,shiny necklace,0,1,workerid_0024
memory_check,0,NA,NA,9,beautiful watch,0,1,workerid_0024
botcaptcha,Patricia,"John says to Patricia: It's a beautiful day, isn't it?",Who is John talking to?,NA,NA,NA,NA,workerid_0025
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0025
memory_check,1,NA,NA,0,quiet rap concert,1,1,workerid_0025
memory_check,0,NA,NA,1,shiny necklace,0,1,workerid_0025
memory_check,1,NA,NA,2,quiet city,1,1,workerid_0025
memory_check,0,NA,NA,3,beautiful watch,0,1,workerid_0025
memory_check,0,NA,NA,4,purple guitar,0,1,workerid_0025
memory_check,1,NA,NA,5,heavy rock,1,1,workerid_0025
memory_check,0,NA,NA,6,green shirt,0,1,workerid_0025
memory_check,1,NA,NA,7,short opera,1,1,workerid_0025
memory_check,0,NA,NA,8,wild animal,0,1,workerid_0025
memory_check,1,NA,NA,9,quiet concert,1,1,workerid_0025
botcaptcha,barbara,"Robert says to Barbara: It's a beautiful day, isn't it?",Who is Robert talking to?,NA,NA,NA,NA,workerid_0026
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0026
memory_check,1,NA,NA,0,heavy motorcycle,1,1,workerid_0026
memory_check,0,NA,NA,1,beautiful watch,0,1,workerid_0026
memory_check,0,NA,NA,2,green shirt,0,1,workerid_0026
memory_check,0,NA,NA,3,purple guitar,0,1,workerid_0026
memory_check,0,NA,NA,4,wild animal,0,1,workerid_0026
memory_check,0,NA,NA,5,shiny necklace,0,1,workerid_0026
memory_check,1,NA,NA,6,weak wall paint,1,1,workerid_0026
memory_check,0,NA,NA,7,short song,1,0,workerid_0026
memory_check,1,NA,NA,8,short hamster,1,1,workerid_0026
memory_check,1,NA,NA,9,wide creek,1,1,workerid_0026
botcaptcha,Mary,"Michael says to Mary: It's a beautiful day, isn't it?",Who is Michael talking to?,NA,NA,NA,NA,workerid_0027
warm_up,The Empire State Building is tall,NA,NA,0,tall,Empire State Building,0,workerid_0027
memory_check,1,NA,NA,0,wild animal,0,0,workerid_0027
memory_check,0,NA,NA,1,beautiful watch,0,1,workerid_0027
memory_check,1,NA,NA,2,purple guitar,0,0,workerid_0027
memory_check,0,NA,NA,3,small peach,1,0,workerid_0027
memory_check,1,NA,NA,4,strong adult,1,1,workerid_0027
memory_check,0,NA,NA,5,shiny necklace,0,1,workerid_0027
memory_check,0,NA,NA,6,small elephant,1,0,workerid_0027
memory_check,0,NA,NA,7,green shirt,0,1,workerid_0027
memory_check,0,NA,NA,8,weak wall paint,1,0,workerid_0027
memory_check,0,NA,NA,9,expensive suit,1,0,workerid_0027
botcaptcha,barbara,"Thomas says to Barbara: It's a beautiful day, isn't it?",Who is Thomas talking to?,NA,NA,NA,NA,workerid_0028
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0028
memory_check,1,NA,NA,0,weak tent,1,1,workerid_0028
memory_check,0,NA,NA,1,wild animal,0,1,workerid_0028
memory_check,1,NA,NA,2,loud car,1,1,workerid_0028
memory_check,0,NA,NA,3,purple guitar,0,1,workerid_0028
memory_check,1,NA,NA,4,soft carpet,1,1,workerid_0028
memory_check,0,NA,NA,5,beautiful watch,0,1,workerid_0028
memory_check,1,NA,NA,6,short jockey,1,1,workerid_0028
memory_check,0,NA,NA,7,green shirt,0,1,workerid_0028
memory_check,0,NA,NA,8,shiny necklace,0,1,workerid_0028
memory_check,1,NA,NA,9,hard tile,1,1,workerid_0028
botcaptcha,Jennifer,"John says to Jennifer: It's a beautiful day, isn't it?",Who is John talking to?,NA,NA,NA,NA,workerid_0029
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0029
memory_check,1,NA,NA,0,short tulip,1,1,workerid_0029
memory_check,0,NA,NA,1,shiny necklace,0,1,workerid_0029
memory_check,1,NA,NA,2,short jockey,1,1,workerid_0029
memory_check,1,NA,NA,3,hot smoothie,1,1,workerid_0029
memory_check,1,NA,NA,4,short mouse,1,1,workerid_0029
memory_check,0,NA,NA,5,purple guitar,0,1,workerid_0029
memory_check,0,NA,NA,6,green shirt,0,1,workerid_0029
memory_check,0,NA,NA,7,wild animal,0,1,workerid_0029
memory_check,0,NA,NA,8,beautiful watch,0,1,workerid_0029
memory_check,0,NA,NA,9,hot milkshake,1,0,workerid_0029
botcaptcha,jennifer,"Robert says to Jennifer: It's a beautiful day, isn't it?",Who is Robert talking to?,NA,NA,NA,NA,workerid_0030
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0030
memory_check,1,NA,NA,0,noisy library,1,1,workerid_0030
memory_check,1,NA,NA,1,cold salad,1,1,workerid_0030
memory_check,0,NA,NA,2,beautiful watch,0,1,workerid_0030
memory_check,0,NA,NA,3,green shirt,0,1,workerid_0030
memory_check,0,NA,NA,4,wild animal,0,1,workerid_0030
memory_check,1,NA,NA,5,strong wall paint,1,1,workerid_0030
memory_check,0,NA,NA,6,shiny necklace,0,1,workerid_0030
memory_check,0,NA,NA,7,purple guitar,0,1,workerid_0030
memory_check,0,NA,NA,8,cheap house,1,0,workerid_0030
memory_check,1,NA,NA,9,loud cat,1,1,workerid_0030
botcaptcha,patricia,"William says to Patricia: It's a beautiful day, isn't it?",Who is William talking to?,NA,NA,NA,NA,workerid_0031
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0031
memory_check,1,NA,NA,0,warm fall,1,1,workerid_0031
memory_check,0,NA,NA,1,wild animal,0,1,workerid_0031
memory_check,1,NA,NA,2,hard piece of chocolate,1,1,workerid_0031
memory_check,1,NA,NA,3,short jockey,1,1,workerid_0031
memory_check,0,NA,NA,4,purple guitar,0,1,workerid_0031
memory_check,0,NA,NA,5,beautiful watch,0,1,workerid_0031
memory_check,0,NA,NA,6,green shirt,0,1,workerid_0031
memory_check,1,NA,NA,7,small tuna,1,1,workerid_0031
memory_check,1,NA,NA,8,loud ukelele,1,1,workerid_0031
memory_check,0,NA,NA,9,shiny necklace,0,1,workerid_0031
botcaptcha,Barbara,"Charles says to Barbara: It's a beautiful day, isn't it?",Who is Charles talking to?,NA,NA,NA,NA,workerid_0032
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0032
memory_check,1,NA,NA,0,soft marshmallow,1,1,workerid_0032
memory_check,1,NA,NA,1,cheap house,1,1,workerid_0032
memory_check,0,NA,NA,2,wild animal,0,1,workerid_0032
memory_check,0,NA,NA,3,green shirt,0,1,workerid_0032
memory_check,0,NA,NA,4,purple guitar,0,1,workerid_0032
memory_check,1,NA,NA,5,quiet cat,1,1,workerid_0032
memory_check,0,NA,NA,6,shiny necklace,0,1,workerid_0032
memory_check,1,NA,NA,7,cold ice cream,1,1,workerid_0032
memory_check,0,NA,NA,8,beautiful watch,0,1,workerid_0032
memory_check,1,NA,NA,9,dark crow,1,1,workerid_0032
botcaptcha,barbara,"Robert says to Barbara: It's a beautiful day, isn't it?",Who is Robert talking to?,NA,NA,NA,NA,workerid_0033
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0033
memory_check,1,NA,NA,0,fast motorcycle,1,1,workerid_0033
memory_check,0,NA,NA,1,purple guitar,0,1,workerid_0033
memory_check,0,NA,NA,2,wild animal,0,1,workerid_0033
memory_check,0,NA,NA,3,shiny necklace,0,1,workerid_0033
memory_check,1,NA,NA,4,tall alpine tree,1,1,workerid_0033
memory_check,1,NA,NA,5,soft tile,1,1,workerid_0033
memory_check,0,NA,NA,6,beautiful watch,0,1,workerid_0033
memory_check,0,NA,NA,7,green shirt,0,1,workerid_0033
